fid,id,left,top,right,bottom,장애거주비율,거리점수(지하철),버스 정류장 ,전동보조기기 충전소,편의/복지시설,총합점수
299,433,14120303.66,4514840.415,14120803.66,4514340.415,0.146,0.5,0,0,0,0.646
300,432,14120303.66,4515340.415,14120803.66,4514840.415,0.122,0.5,0.391,0,0.2,1.213
301,435,14120303.66,4513840.415,14120803.66,4513340.415,0.146,1,0.261,0,0,1.407
302,434,14120303.66,4514340.415,14120803.66,4513840.415,0.146,1,0.304,0,0.2,1.65
303,447,14120803.66,4519340.415,14121303.66,4518840.415,1,0,0,0,0,1
304,446,14120803.66,4519840.415,14121303.66,4519340.415,0,0,0,0,0,0
305,79,14112803.66,4519340.415,14113303.66,4518840.415,0.134,0,0,0,0,0.134
306,85,14112803.66,4516340.415,14113303.66,4515840.415,0.134,0,0,0,0,0.134
307,589,14123803.66,4517340.415,14124303.66,4516840.415,0,0,0,0,0,0
308,84,14112803.66,4516840.415,14113303.66,4516340.415,0.134,0,0,0,0,0.134
309,591,14123803.66,4516340.415,14124303.66,4515840.415,0,1,0.174,0,0,1.174
310,86,14112803.66,4515840.415,14113303.66,4515340.415,0.134,0,0,0,0,0.134
311,590,14123803.66,4516840.415,14124303.66,4516340.415,0,0,0,0,0,0
312,81,14112803.66,4518340.415,14113303.66,4517840.415,0.134,0,0,0,0,0.134
313,80,14112803.66,4518840.415,14113303.66,4518340.415,0.134,0,0,0,0,0.134
314,83,14112803.66,4517340.415,14113303.66,4516840.415,0.134,0,0,0,0,0.134
315,82,14112803.66,4517840.415,14113303.66,4517340.415,0.134,0,0,0,0,0.134
316,592,14123803.66,4515840.415,14124303.66,4515340.415,0,1,0,0,0,1
317,101,14113303.66,4519840.415,14113803.66,4519340.415,0.134,0,0,0,0,0.134
318,103,14113303.66,4518840.415,14113803.66,4518340.415,0.134,0,0,0,0,0.134
319,102,14113303.66,4519340.415,14113803.66,4518840.415,0.134,0,0,0,0,0.134
320,109,14113303.66,4515840.415,14113803.66,4515340.415,0.134,0,0,0,0,0.134
321,108,14113303.66,4516340.415,14113803.66,4515840.415,0.134,0,0,0,0,0.134
322,615,14124303.66,4515840.415,14124803.66,4515340.415,0,0,0,0,0,0
323,105,14113303.66,4517840.415,14113803.66,4517340.415,0.134,0,0,0,0,0.134
324,104,14113303.66,4518340.415,14113803.66,4517840.415,0.134,0,0,0,0,0.134
325,107,14113303.66,4516840.415,14113803.66,4516340.415,0.134,0,0,0,0,0.134
326,106,14113303.66,4517340.415,14113803.66,4516840.415,0.134,0,0,0,0,0.134
