fid,id,left,top,right,bottom,장애거주비율,거리점수(지하철),버스 정류장 ,전동보조기기 충전소,편의/복지시설,총합점수
205,292,14117303.66,4516340.415,14117803.66,4515840.415,0.146,0,0.261,0,0,0.407
206,295,14117303.66,4514840.415,14117803.66,4514340.415,0.146,0,0,0,0,0.146
207,294,14117303.66,4515340.415,14117803.66,4514840.415,0.146,0,0,0,0,0.146
208,289,14117303.66,4517840.415,14117803.66,4517340.415,0.134,1,0.217,0,0,1.351
209,288,14117303.66,4518340.415,14117803.66,4517840.415,0.134,1,0,0,0,1.134
210,291,14117303.66,4516840.415,14117803.66,4516340.415,0.146,0,0.087,0,0.2,0.433
211,290,14117303.66,4517340.415,14117803.66,4516840.415,0.146,1,0.217,0,0,1.363
212,309,14117803.66,4519340.415,14118303.66,4518840.415,0.134,0.5,0.13,0,0,0.764
213,308,14117803.66,4519840.415,14118303.66,4519340.415,0,0,0,0,0,0
214,311,14117803.66,4518340.415,14118303.66,4517840.415,0.134,1,0.087,0,0,1.221
215,310,14117803.66,4518840.415,14118303.66,4518340.415,0.134,1,0.348,0,0.4,1.882
216,305,14117803.66,4521340.415,14118303.66,4520840.415,0.476,0,0,0,0,0.476
217,304,14117803.66,4521840.415,14118303.66,4521340.415,0.476,0,0,0,0,0.476
218,307,14117803.66,4520340.415,14118303.66,4519840.415,0.476,0,0,0,0,0.476
219,306,14117803.66,4520840.415,14118303.66,4520340.415,0.476,0,0,0,0,0.476
220,317,14117803.66,4515340.415,14118303.66,4514840.415,0.146,0,0,0,0,0.146
221,316,14117803.66,4515840.415,14118303.66,4515340.415,0.146,0,0.13,0,0,0.276
222,318,14117803.66,4514840.415,14118303.66,4514340.415,0.146,0,0,0,0,0.146
223,313,14117803.66,4517340.415,14118303.66,4516840.415,0.146,1,0.174,0,0,1.32
224,312,14117803.66,4517840.415,14118303.66,4517340.415,0.146,1,0.217,0.333333333,0,1.696
225,315,14117803.66,4516340.415,14118303.66,4515840.415,0.146,0,0.391,0,0,0.537
226,314,14117803.66,4516840.415,14118303.66,4516340.415,0.146,0,0.217,0,0,0.363
227,453,14120803.66,4516340.415,14121303.66,4515840.415,0.098,0,0.304,0.666666667,0.8,1.869
228,452,14120803.66,4516840.415,14121303.66,4516340.415,0.098,0,0.391,0.333333333,0.2,1.022
229,455,14120803.66,4515340.415,14121303.66,4514840.415,0.122,0,0.087,0.333333333,0.2,0.742
230,454,14120803.66,4515840.415,14121303.66,4515340.415,0.122,0,0.043,0,0.2,0.365
231,449,14120803.66,4518340.415,14121303.66,4517840.415,1,1,0.348,1,0.8,4.148
