상호명,지점명,도로명주소,사업장명,소재지면적,위도,경도
세븐일레븐,화곡하늘점,서울특별시 강서구 까치산로18라길 6,세븐일레븐 화곡하늘점,4.00,37.5461832,126.853548
세븐일레븐,강서화곡진주점,서울특별시 강서구 곰달래로36길 17,세븐일레븐 강서화곡진주점,3.30,37.5303815,126.8538236
CU,강서해링턴점,서울특별시 강서구 강서로 231,씨유 강서해링턴점,3.30,37.5596089,126.838587
미니스톱,개화산역점,서울특별시 강서구 양천로 50,미니스톱 개화산역점,3.30,37.5488695,126.8781594
CU,염창세계로점,서울특별시 강서구 양천로69길 58,씨유 염창세계로점,3.30,37.5548311,126.8720968
GS25,화곡푸르지오,서울특별시 강서구 화곡로13길 107,GS25화곡푸르지오,3.30,37.543712049999996,126.83123357379043
세븐일레븐,화곡푸르지오점,서울특별시 강서구 화곡로13길 107,GS25화곡푸르지오,3.30,37.543712049999996,126.83123357379043
세븐일레븐,화곡신정초교점,서울특별시 강서구 곰달래로31다길 8,세븐일레븐 화곡신정초교점,3.30,37.5335627,126.8536722
세븐일레븐,화곡로점,서울특별시 강서구 화곡로60길 33,세븐일레븐 화곡로점,3.30,37.5534968,126.8524565
세븐일레븐,화곡원룸점,서울특별시 강서구 강서로7길 59,세븐일레븐 화곡 원룸점,6.60,37.5293488,126.8448368
미니스톱,서울신주점,서울특별시 강서구 곰달래로31가길 80,미니스톱 서울신주점,3.30,37.5322543,126.8546247
세븐일레븐,화곡보노점,서울특별시 강서구 곰달래로57길 37,세븐일레븐 화곡보노점,3.30,37.5348113,126.8608679
세븐일레븐,류마타워점,서울특별시 강서구 공항대로 164,세븐일레븐 류마타워점,3.30,37.5612563,126.8124407
CU,등촌능안점,서울특별시 강서구 등촌로39길 30,씨유 등촌능안점,3.30,37.5459865,126.8606064
GS25,염창E편한점,서울특별시 강서구 공항대로 583,GS25 염창e편한점,3.30,37.5487687,126.8709088
GS25,등촌한올림점,서울특별시 강서구 화곡로64길 2,지에스25 등촌한올림점,3.30,37.556247,126.8564946
CU,NH서울타워점,서울특별시 강서구 양천로 570,씨유 NH서울타워점,3.30,37.55654875,126.86208628081276
GS25,화곡그랜드점,서울특별시 강서구 월정로32길 71,지에스25 화곡그랜드점,3.30,37.5362013,126.8382908
GS25,우장산점,서울특별시 강서구 우현로 17,지에스25 우장산점,4.00,37.5481875,126.84377955899093
세븐일레븐,마곡W타워점,서울특별시 강서구 마곡중앙1로 14,세븐일레븐 마곡W타워점,3.30,37.558542,126.8218699
세븐일레븐,마곡W타워점,서울특별시 강서구 마곡중앙1로 14,세븐일레븐 마곡W타워점,3.30,37.558542,126.8218699
GS25,방화한숲점,서울특별시 강서구 방화대로50길 17,지에스25 방화한숲점,6.60,37.5765263,126.8181642
CU,우장산힐스테이트점,서울특별시 강서구 공항대로38길 80,씨유 우장산힐스테이트점,3.30,37.5578472,126.8388087
GS25,등촌센트럴점,서울특별시 강서구 공항대로59다길 39,지에스25 등촌센트럴점,6.60,37.5480691,126.8754087
세븐일레븐,강서염창점,서울특별시 강서구 양천로73가길 28,세븐일레븐 강서염창점,6.60,37.5504126,126.8745588
CU,강서웨스턴점,서울특별시 강서구 허준로 47,씨유 강서웨스턴점,6.60,37.570592500000004,126.84604363073136
CU,강서웨스턴점,서울특별시 강서구 허준로 47,지에스25가양2점,3.30,37.570592500000004,126.84604363073136
GS25,가양2호점,서울특별시 강서구 허준로 47,씨유 강서웨스턴점,6.60,37.570592500000004,126.84604363073136
GS25,가양2호점,서울특별시 강서구 허준로 47,지에스25가양2점,3.30,37.570592500000004,126.84604363073136
미니스톱,강서우장산점,서울특별시 강서구 강서로48길 47,미니스톱 강서우장산점,6.60,37.5525036,126.8383018
GS25,방화초원로점,서울특별시 강서구 초원로 43,지에스25방화초원로점,3.30,37.5677926,126.8091483
미니스톱,서울희망점,서울특별시 강서구 방화대로6길 33,씨유 공항빌리지점,6.60,37.554993350000004,126.81863839845138
