상호명,지점명,도로명주소,경도,위도
CU,마곡보타닉푸르지오2호점,서울특별시 강서구 마곡중앙5로 6,126.8220048,37.5671609
GS25,발산아이파크점,서울특별시 강서구 마곡중앙8로 90,126.8280606,37.5617889
CU,양천향교점,서울특별시 강서구 양천로49길 35,126.8402389,37.5714536
CU,909등촌역점,서울특별시 강서구 공항대로 529,126.8124407,37.5612563
CU,907가양역점,서울특별시 강서구 양천로 485,126.8781594,37.5488695
CU,901개화역점,서울특별시 강서구 개화동로8길 38,126.7969481,37.5771893
CU,904신방화역점,서울특별시 강서구 방화대로 301,126.8165069,37.5496967
GS25,뉴마곡14단지점,서울특별시 강서구 마곡중앙로 33,126.8261089,37.5572643
GS25,S9마곡나루역점,서울특별시 강서구 마곡중앙5로 2,126.8276766,37.5663087
GS25,마곡LG사이언스점,서울특별시 강서구 마곡중앙10로 30,126.8345646,37.5637179
CU,염창월드점,서울특별시 강서구 공항대로59다길 122,126.86944255211321,37.55080585
세븐일레븐,마곡6단지점,서울특별시 강서구 마곡서1로 100,126.8202816,37.5587099
CU,강서산업센터점,서울특별시 강서구 양천로 401,126.8781594,37.5488695
미니스톱,강서등촌점,서울특별시 강서구 양천로 606,126.8781594,37.5488695
GS25,송정가온점,서울특별시 강서구 공항대로7길 27,126.8129782,37.562459
세븐일레븐,화곡하늘점,서울특별시 강서구 까치산로18라길 6,126.853548,37.5461832
CU,SK해바라기주유소점,서울특별시 강서구 화곡로 273,126.853233,37.5575476
GS25,명덕점,서울특별시 강서구 강서로47길 36,126.83418081736687,37.55294875
세븐일레븐,강서화곡진주점,서울특별시 강서구 곰달래로36길 17,126.8538236,37.5303815
CU,방화해피점,서울특별시 강서구 양천로24가길 23,126.8137232,37.5715921
CU,화곡와이즈점,서울특별시 강서구 까치산로 20,126.85463,37.55493
CU,화곡봉제산점,서울특별시 강서구 강서로18바길 22,126.8501137,37.5368353
CU,강서해링턴점,서울특별시 강서구 강서로 231,126.838587,37.5596089
세븐일레븐,마곡이너매스점,서울특별시 강서구 마곡중앙6로 21,126.833454,37.5603397
미니스톱,개화산역점,서울특별시 강서구 양천로 50,126.8781594,37.5488695
CU,염창세계로점,서울특별시 강서구 양천로69길 58,126.8720968,37.5548311
GS25,가양테크노점,서울특별시 강서구 화곡로68길 15,126.85530597862648,37.55948755
CU,강서한아름점,서울특별시 강서구 등촌로13길 28,126.8584522,37.5379589
CU,외발산점,서울특별시 강서구 방화대로 30,126.8165069,37.5496967
GS25,화곡푸르지오,서울특별시 강서구 화곡로13길 107,126.83123357379043,37.543712049999996
세븐일레븐,화곡신정초교점,서울특별시 강서구 곰달래로31다길 8,126.8536722,37.5335627
세븐일레븐,화곡로점,서울특별시 강서구 화곡로60길 33,126.8524565,37.5534968
GS25,강서LG사이언스,서울특별시 강서구 마곡중앙10로 70,126.8345646,37.5637179
GS25,S9개화역점,서울특별시 강서구 개화동로8길 38,126.7969481,37.5771893
GS25,염창행복점,서울특별시 강서구 공항대로81길 35,126.8762466,37.5474061
세븐일레븐,화곡원룸점,서울특별시 강서구 강서로7길 59,126.8448368,37.5293488
미니스톱,서울신주점,서울특별시 강서구 곰달래로31가길 80,126.8546247,37.5322543
GS25,S9염창역점,서울특별시 강서구 공항대로 631,126.8124407,37.5612563
GS25,S9공항시장역점,서울특별시 강서구 방화동로 30,126.8080486,37.5615634
세븐일레븐,화곡보노점,서울특별시 강서구 곰달래로57길 37,126.8608679,37.5348113
세븐일레븐,류마타워점,서울특별시 강서구 공항대로 164,126.8124407,37.5612563
CU,등촌능안점,서울특별시 강서구 등촌로39길 30,126.8606064,37.5459865
세븐일레븐,강서화곡대로점,서울특별시 강서구 강서로29길 27,126.8392415,37.5388304
GS25,염창E편한점,서울특별시 강서구 공항대로 583,126.8709088,37.5487687
GS25,등촌한올림점,서울특별시 강서구 화곡로64길 2,126.8564946,37.556247
CU,NH서울타워점,서울특별시 강서구 양천로 570,126.86208628081276,37.55654875
GS25,화곡그랜드점,서울특별시 강서구 월정로32길 71,126.8382908,37.5362013
GS25,우장산점,서울특별시 강서구 우현로 17,126.84377955899093,37.5481875
세븐일레븐,마곡W타워점,서울특별시 강서구 마곡중앙1로 14,126.8218699,37.558542
GS25,방화한숲점,서울특별시 강서구 방화대로50길 17,126.8181642,37.5765263
GS25,S9양천향교역점,서울특별시 강서구 양천로 341,126.8781594,37.5488695
CU,우장산힐스테이트점,서울특별시 강서구 공항대로38길 80,126.8388087,37.5578472
GS25,등촌센트럴점,서울특별시 강서구 공항대로59다길 39,126.8754087,37.5480691
CU,등촌3단지점,서울특별시 강서구 강서로56나길 37,126.84139645,37.5615994
세븐일레븐,강서염창점,서울특별시 강서구 양천로73가길 28,126.8745588,37.5504126
CU,강서웨스턴점,서울특별시 강서구 허준로 47,126.84604363073136,37.570592500000004
미니스톱,강서우장산점,서울특별시 강서구 강서로48길 47,126.8383018,37.5525036
GS25,방화초원로점,서울특별시 강서구 초원로 43,126.8091483,37.5677926
세븐일레븐,마곡호서대기숙사점,서울특별시 강서구 강서로 399,126.838587,37.5596089
미니스톱,서울희망점,서울특별시 강서구 방화대로6길 33,126.81863839845138,37.554993350000004
GS25,곰달래로,서울특별시 강서구 곰달래로31길 16,126.8513006,37.5325093
GS25,마곡루체점,서울특별시 강서구 마곡동로4길 23,126.8354829,37.5595076
GS25,화곡지연점,서울특별시 강서구 초록마을로8길 82,126.8492162,37.5402534
