상호명,지점명,도로명주소,단차/계단,확인불가
GS25,화곡행복점,서울특별시 강서구 등촌로13길 90,0,3
CU,발산진흥점,서울특별시 강서구 강서로47길 67,1,0
세븐일레븐,가양프라자점,서울특별시 강서구 허준로 198,0,0
미니스톱,까치산점,서울특별시 강서구 강서로7길 19,1,0
세븐일레븐,강서등마루점,서울특별시 강서구 화곡로66길 122,1,0
GS25,공항화물청사점,서울특별시 강서구 하늘길 111,1,0
CU,방화오피스2호점,서울특별시 강서구 개화동로29길 14,1,0
CU,소나무공원점,서울특별시 강서구 까치산로15길 17,1,0
CU,강서화곡점,서울특별시 강서구 화곡로42길 15,0,0
세븐일레븐,등촌현대점,서울특별시 강서구 공항대로61길 13,1,0
CU,염창동아점,서울특별시 강서구 양천로 731,1,0
CU,발산수명점,서울특별시 강서구 수명로 31,0,2
GS25,화곡으뜸점,서울특별시 강서구 우장산로 125,1,0
GS25,화곡초록마을점,서울특별시 강서구 초록마을로6길 6,1,0
GS25,화곡소담점,서울특별시 강서구 화곡로44길 12,1,0
CU,908증미역점,서울특별시 강서구 양천로 560,0,1
GS25,마곡14단지점,서울특별시 강서구 마곡중앙로 33,0,1
CU,마곡롯데캐슬점,서울특별시 강서구 마곡중앙로 161-1,0,2
GS25,화곡달빛점,서울특별시 강서구 곰달래로16길 29,1,0
GS25,방화5단지점,서울특별시 강서구 금낭화로 287-19,1,0
GS25,화곡한나점,서울특별시 강서구 강서로5나길 21,1,0
CU,906양천향교역점,서울특별시 강서구 양천로 341,0,2
CU,910염창역점,서울특별시 강서구 공항대로 631,1,3
GS25,발산1단지점,서울특별시 강서구 강서로47길 108,1,0
GS25,마곡라마다점,서울특별시 강서구 마곡중앙로 161-11,0,2
CU,송정공항점,서울특별시 강서구 공항대로8길 17,0,0
CU,마곡보타닉푸르지오2호점,서울특별시 강서구 마곡중앙5로 6,0,1
GS25,발산아이파크점,서울특별시 강서구 마곡중앙8로 90,0,1
CU,양천향교점,서울특별시 강서구 양천로49길 35,1,0
CU,909등촌역점,서울특별시 강서구 공항대로 529,0,2
CU,907가양역점,서울특별시 강서구 양천로 485,0,2
CU,901개화역점,서울특별시 강서구 개화동로8길 38,0,2
CU,904신방화역점,서울특별시 강서구 방화대로 301,0,2
GS25,뉴마곡14단지점,서울특별시 강서구 마곡중앙로 33,0,1
GS25,S9마곡나루역점,서울특별시 강서구 마곡중앙5로 2,0,1
GS25,마곡LG사이언스점,서울특별시 강서구 마곡중앙10로 30,0,1
CU,염창월드점,서울특별시 강서구 공항대로59다길 122,0,0
세븐일레븐,마곡6단지점,서울특별시 강서구 마곡서1로 100,0,0
CU,강서산업센터점,서울특별시 강서구 양천로 401,0,0
미니스톱,강서등촌점,서울특별시 강서구 양천로 606,0,2
GS25,송정가온점,서울특별시 강서구 공항대로7길 27,1,0
세븐일레븐,화곡하늘점,서울특별시 강서구 까치산로18라길 6,0,0
CU,SK해바라기주유소점,서울특별시 강서구 화곡로 273,0,2
GS25,명덕점,서울특별시 강서구 강서로47길 36,1,3
세븐일레븐,강서화곡진주점,서울특별시 강서구 곰달래로36길 17,1,0
CU,방화해피점,서울특별시 강서구 양천로24가길 23,1,0
CU,화곡와이즈점,서울특별시 강서구 까치산로 20,1,0
CU,화곡봉제산점,서울특별시 강서구 강서로18바길 22,1,0
CU,강서해링턴점,서울특별시 강서구 강서로 231,0,0
세븐일레븐,마곡이너매스점,서울특별시 강서구 마곡중앙6로 21,0,2
미니스톱,개화산역점,서울특별시 강서구 양천로 50,0,0
CU,염창세계로점,서울특별시 강서구 양천로69길 58,1,0
GS25,가양테크노점,서울특별시 강서구 화곡로68길 15,0,1
CU,강서한아름점,서울특별시 강서구 등촌로13길 28,1,0
CU,외발산점,서울특별시 강서구 방화대로 30,1,3
GS25,화곡푸르지오,서울특별시 강서구 화곡로13길 107,0,0
세븐일레븐,화곡신정초교점,서울특별시 강서구 곰달래로31다길 8,1,0
세븐일레븐,화곡로점,서울특별시 강서구 화곡로60길 33,1,0
GS25,강서LG사이언스,서울특별시 강서구 마곡중앙10로 70,0,1
GS25,S9개화역점,서울특별시 강서구 개화동로8길 38,0,1
GS25,염창행복점,서울특별시 강서구 공항대로81길 35,0,0
세븐일레븐,화곡원룸점,서울특별시 강서구 강서로7길 59,1,0
