상호명,지점명,도로명주소,경도,위도
GS25,발산아이파크점,서울특별시 강서구 마곡중앙8로 90,126.8375752,37.56055788
CU,양천향교점,서울특별시 강서구 양천로49길 35,126.840482,37.57018244
CU,909등촌역점,서울특별시 강서구 공항대로 529,126.8649283,37.55111088
CU,907가양역점,서울특별시 강서구 양천로 485,126.8543682,37.56154197
CU,901개화역점,서울특별시 강서구 개화동로8길 38,126.7980577,37.57915581
CU,904신방화역점,서울특별시 강서구 방화대로 301,126.816512,37.56767397
GS25,뉴마곡14단지점,서울특별시 강서구 마곡중앙로 33,126.8240665,37.55803636
GS25,S9마곡나루역점,서울특별시 강서구 마곡중앙5로 2,126.827506,37.56678354
GS25,마곡LG사이언스점,서울특별시 강서구 마곡중앙10로 30,126.8310034,37.56390789
CU,염창월드점,서울특별시 강서구 공항대로59다길 122,126.8694261,37.55078461
세븐일레븐,마곡6단지점,서울특별시 강서구 마곡서1로 100,126.8195019,37.56542431
CU,강서산업센터점,서울특별시 강서구 양천로 401,126.8476262,37.56569318
미니스톱,강서등촌점,서울특별시 강서구 양천로 606,126.8651834,37.55518601
GS25,송정가온점,서울특별시 강서구 공항대로7길 27,126.8128356,37.56252823
세븐일레븐,화곡하늘점,서울특별시 강서구 까치산로18라길 6,126.8516381,37.54693672
CU,SK해바라기주유소점,서울특별시 강서구 화곡로 273,126.8469511,37.54926978
GS25,명덕점,서울특별시 강서구 강서로47길 36,126.8341514,37.55292842
세븐일레븐,강서화곡진주점,서울특별시 강서구 곰달래로36길 17,126.8539068,37.53032564
CU,방화해피점,서울특별시 강서구 양천로24가길 23,126.8143402,37.57257179
CU,화곡와이즈점,서울특별시 강서구 까치산로 20,126.8428804,37.54173335
CU,화곡봉제산점,서울특별시 강서구 강서로18바길 22,126.8496895,37.53603325
CU,강서해링턴점,서울특별시 강서구 강서로 231,126.8357619,37.54615953
세븐일레븐,마곡이너매스점,서울특별시 강서구 마곡중앙6로 21,126.8296028,37.5608215
미니스톱,개화산역점,서울특별시 강서구 양천로 50,126.8092531,37.57284496
CU,염창세계로점,서울특별시 강서구 양천로69길 58,126.8729463,37.55526037
GS25,가양테크노점,서울특별시 강서구 화곡로68길 15,126.8553058,37.55944265
CU,강서한아름점,서울특별시 강서구 등촌로13길 28,126.8617236,37.53560924
CU,외발산점,서울특별시 강서구 방화대로 30,126.8170493,37.54300013
GS25,화곡푸르지오,서울특별시 강서구 화곡로13길 107,126.8322257,37.54723288
세븐일레븐,화곡신정초교점,서울특별시 강서구 곰달래로31다길 8,126.8516991,37.53336772
세븐일레븐,화곡로점,서울특별시 강서구 화곡로60길 33,126.8531119,37.55341146
GS25,강서LG사이언스,서울특별시 강서구 마곡중앙10로 70,126.8354575,37.56353744
GS25,S9개화역점,서울특별시 강서구 개화동로8길 38,126.7949576,37.5804397
GS25,염창행복점,서울특별시 강서구 공항대로81길 35,126.8761213,37.54883021
세븐일레븐,화곡원룸점,서울특별시 강서구 강서로7길 59,126.8444313,37.52922414
미니스톱,서울신주점,서울특별시 강서구 곰달래로31가길 80,126.8558899,37.53233616
GS25,S9염창역점,서울특별시 강서구 공항대로 631,126.8749823,37.54705333
GS25,S9공항시장역점,서울특별시 강서구 방화동로 30,126.8104765,37.56354066
세븐일레븐,화곡보노점,서울특별시 강서구 곰달래로57길 37,126.861638,37.53379733
세븐일레븐,류마타워점,서울특별시 강서구 공항대로 164,126.8254952,37.55931203
CU,등촌능안점,서울특별시 강서구 등촌로39길 30,126.8608531,37.54597178
세븐일레븐,강서화곡대로점,서울특별시 강서구 강서로29길 27,126.8403515,37.53916762
GS25,염창E편한점,서울특별시 강서구 공항대로 583,126.8700717,37.54850216
GS25,등촌한올림점,서울특별시 강서구 화곡로64길 2,126.853551,37.55725413
CU,NH서울타워점,서울특별시 강서구 양천로 570,126.8618554,37.55671277
GS25,화곡그랜드점,서울특별시 강서구 월정로32길 71,126.8390838,37.53627185
GS25,우장산점,서울특별시 강서구 우현로 17,126.8434627,37.54725338
