상호명,지점명,도로명주소,단차/계단,확인불가
세븐일레븐,강서하이웨이주유소점,서울특별시 강서구 공항대로 432,0,0
GS25,강서까치산점,서울특별시 강서구 강서로16길 22,1,0
세븐일레븐,발산W타워점,서울특별시 강서구 공항대로 222,0,0
CU,화곡미라클점,서울특별시 강서구 초록마을로5길 25,0,0
CU,방화역점,서울특별시 강서구 금낭화로 287-50,1,0
세븐일레븐,강서화곡신정점,서울특별시 강서구 등촌로13다길 32-18,1,0
CU,강서붐호텔점,서울특별시 강서구 남부순환로 188,1,0
미니스톱,비즈메트로점,서울특별시 강서구 양천로 551-17,0,0
이마트24,마곡골든점,서울특별시 강서구 마곡중앙6로 89,0,0
CU,강서도레미점,서울특별시 강서구 양천로26길 38,1,0
미니스톱,등촌우리점,서울특별시 강서구 등촌로39마길 24,1,0
CU,화곡행복점,서울특별시 강서구 강서로17길 89,1,0
CU,등촌주공점,서울특별시 강서구 공항대로43길 39,1,0
GS25,가양데시앙점,서울특별시 강서구 양천로 418,0,0
CU,등촌원룸점,서울특별시 강서구 화곡로68길 132,1,0
GS25,뉴내발산점,서울특별시 강서구 강서로45나길 59,1,0
세븐일레븐,강서화곡예스점,서울특별시 강서구 화곡로42길 35,1,0
GS25,방화샤르망점,서울특별시 강서구 방화대로47가길 7,0,0
CU,화곡영광점,서울특별시 강서구 곰달래로53길 121,0,0
CU,김포공항3호점,서울특별시 강서구 하늘길 111,0,1
세븐일레븐,강서화곡한솔점,서울특별시 강서구 까치산로17길 10,1,0
GS25,화곡열매점,서울특별시 강서구 곰달래로49길 56,1,0
CU,목동먹자촌점,서울특별시 강서구 곰달래로60가길 4,1,0
GS25,마곡동익점,서울특별시 강서구 공항대로 195,0,1
CU,발산열린점,서울특별시 강서구 마곡중앙6로 93,1,0
CU,등촌5단지점,서울특별시 강서구 강서로62길 98,1,0
CU,송정역점,서울특별시 강서구 공항대로 43,0,0
GS25,화곡도래점,서울특별시 강서구 까치산로20길 11,0,0
CU,88체육관점,서울특별시 강서구 공항대로 376,0,1
CU,신월가로공원점,서울특별시 강서구 화곡로51길 13,1,0
CU,등촌보보점,서울특별시 강서구 공항대로 509,1,0
GS25,마곡SB점,서울특별시 강서구 마곡중앙5로 81,0,0
GS25,공항다솔점,서울특별시 강서구 방화대로6마길 22,0,1
GS25,화곡공원점,서울특별시 강서구 화곡로42가길 9,1,0
GS25,등촌현대점,서울특별시 강서구 등촌로 163,0,1
GS25,강서센트레점,서울특별시 강서구 공항대로2길 25,1,0
CU,서울식물원점,서울특별시 강서구 마곡중앙로 136,0,1
세븐일레븐,S방화역점,서울특별시 강서구 금낭화로 132,0,1
세븐일레븐,화곡까치산로점,서울특별시 강서구 까치산로 29,0,0
CU,마곡투웨니점,서울특별시 강서구 강서로 443,0,0
이마트24,화곡가로공원점,서울특별시 강서구 가로공원로 217,1,0
CU,강서오토플렉스점,서울특별시 강서구 양천로 390,0,0
CU,마곡퀸즈점,서울특별시 강서구 공항대로 212,0,0
세븐일레븐,개화중앙점,서울특별시 강서구 개화동로9길 7,1,0
CU,마곡로뎀점,서울특별시 강서구 공항대로 186,0,0
미니스톱,화곡재성점,서울특별시 강서구 월정로20길 25,1,0
CU,강서가로공원점,서울특별시 강서구 가로공원로 216,1,0
CU,염창오피스점,서울특별시 강서구 공항대로 653-9,1,0
세븐일레븐,화곡푸르지오점,서울특별시 강서구 화곡로13길 107,0,1
세븐일레븐,마곡대방디엠,서울특별시 강서구 마곡동로10길 23,0,1
GS25,방화제일점,서울특별시 강서구 방화동로12길 14,0,1
세븐일레븐,마곡로뎀점,서울특별시 강서구 공항대로 186,0,0
세븐일레븐,가양9단지점,서울특별시 강서구 허준로 234,0,1
CU,화곡일등점,서울특별시 강서구 화곡로27가길 2,1,0
CU,이웰메디파크점,서울특별시 강서구 마곡중앙4로 74,0,0
세븐일레븐,화곡메인점,서울특별시 강서구 곰달래로49길 112,1,0
CU,강서부민병원점,서울특별시 강서구 공항대로 389,0,0
세븐일레븐,화곡까치점,서울특별시 강서구 까치산로2길 3,0,0
미니스톱,등촌청림점,서울특별시 강서구 공항대로45길 44,1,0
CU,마곡두산점,서울특별시 강서구 마곡서로 152,0,1
GS25,우장산스카이점,서울특별시 강서구 강서로 294,0,1
GS25,공항소담점,서울특별시 강서구 방화대로6라길 26,0,0
GS25,김포공항역점,서울특별시 강서구 하늘길 38,0,1
GS25,강서메트로칸점,서울특별시 강서구 공항대로45가길 11,0,1
GS25,강서우장점,서울특별시 강서구 강서로45다길 35,1,0
세븐일레븐,강서화곡로점,서울특별시 강서구 화곡로 296,1,0
CU,가양모터리움점,서울특별시 강서구 양천로53길 30,0,1
CU,메트로점,서울특별시 강서구 화곡로26가길 2,1,0
세븐일레븐,2872S개화산역점,서울특별시 강서구 양천로 22,0,1
GS25,발산에너지점,서울특별시 강서구 강서로56길 50,1,0
GS25,국립항공박물관점,서울특별시 강서구 하늘길 112,0,1
GS25,등촌타운점,서울특별시 강서구 공항대로 543,0,1
CU,화곡시원점,서울특별시 강서구 가로공원로76길 38,1,0
CU,마곡9단지점,서울특별시 강서구 공항대로 103,0,1
세븐일레븐,등촌영일점,서울특별시 강서구 등촌로51가길 27,0,0
미니스톱,한강강서1점,서울특별시 강서구 양천로27길 280-11,0,0
CU,염창JK블라썸호텔점,서울특별시 강서구 양천로65길 41-22,0,0
CU,강서마곡점,서울특별시 강서구 양천로47나길 7,0,0
CU,마곡8단지점,서울특별시 강서구 마곡서1로 81,0,0
세븐일레븐,화곡우장산점,서울특별시 강서구 화곡로53길 58,0,0
세븐일레븐,등촌임광점,서울특별시 강서구 등촌로 113,0,0
CU,가양3단지점,서울특별시 강서구 허준로 139,0,1
GS25,뉴마곡12단지점,서울특별시 강서구 마곡중앙1로 26,1,0
CU,화곡더숨점,서울특별시 강서구 초록마을로34길 57,1,0
GS25,화곡화원점,서울특별시 강서구 월정로30길 102,0,1
GS25,등촌월드점,서울특별시 강서구 공항대로39길 74,0,1
