dong_1,dong_2,dong_3,age_1,age_2,num
합계,강서구,방화1동,합계,60~69세,424
합계,강서구,방화1동,합계,70~79세,412
합계,강서구,방화1동,합계,80세이상,283
합계,강서구,방화2동,합계,9세미만,9
합계,강서구,방화2동,합계,10~19세,15
합계,강서구,방화2동,합계,20~29세,54
합계,강서구,방화2동,합계,30~39세,80
합계,강서구,방화2동,합계,40~49세,132
합계,강서구,방화2동,합계,50~59세,250
합계,강서구,방화2동,합계,60~69세,426
합계,강서구,방화2동,합계,70~79세,364
합계,강서구,방화2동,합계,80세이상,275
합계,강서구,방화3동,합계,9세미만,8
합계,강서구,방화3동,합계,10~19세,21
합계,강서구,방화3동,합계,20~29세,42
합계,강서구,방화3동,합계,30~39세,69
합계,강서구,방화3동,합계,40~49세,139
합계,강서구,방화3동,합계,50~59세,305
합계,강서구,방화3동,합계,60~69세,591
합계,강서구,방화3동,합계,70~79세,469
합계,강서구,방화3동,합계,80세이상,347
합계,강서구,화곡1동,합계,9세미만,25
합계,강서구,화곡1동,합계,10~19세,22
합계,강서구,화곡1동,합계,20~29세,82
합계,강서구,화곡1동,합계,30~39세,118
합계,강서구,화곡1동,합계,40~49세,187
합계,강서구,화곡1동,합계,50~59세,345
합계,강서구,화곡1동,합계,60~69세,532
합계,강서구,화곡1동,합계,70~79세,483
합계,강서구,화곡1동,합계,80세이상,276
합계,강서구,우장산동,합계,9세미만,25
합계,강서구,우장산동,합계,10~19세,36
합계,강서구,우장산동,합계,20~29세,64
합계,강서구,우장산동,합계,30~39세,71
합계,강서구,우장산동,합계,40~49세,127
합계,강서구,우장산동,합계,50~59세,174
합계,강서구,우장산동,합계,60~69세,288
합계,강서구,우장산동,합계,70~79세,283
합계,강서구,우장산동,합계,80세이상,180
